Generation,Best_Fitness,Avg_Fitness,Net_Displacement,Time_On_Line,Standstill_Count,Stagnation_Counter,Weights_Filename
1,-42.3271,-104.5608,0.892,701,674,0,gen_0001.npy
2,219.9279,77.4223,3.856,846,1015,0,gen_0002.npy
3,-58.5259,-68.5963,0.734,665,674,1,gen_0003.npy
1,260.5169,0.3796,3.348,992,853,0,gen_0001.npy
2,111.2095,3.2183,2.634,872,951,1,gen_0002.npy
3,378.966,222.5722,4.675,1481,1214,0,gen_0003.npy
4,114.5429,-15.4835,1.924,1416,1268,1,gen_0004.npy
5,410.1577,217.8387,5.017,1463,1158,0,gen_0005.npy
6,429.092,125.729,5.521,1325,1007,0,gen_0006.npy
1,311.2662,-87.5102,4.019,1084,789,0,gen_0001.npy
2,232.2161,26.2429,3.435,974,1265,1,gen_0002.npy
3,367.4316,145.024,4.718,1255,1216,0,gen_0003.npy
4,263.7499,62.0772,2.573,1134,550,1,gen_0004.npy
5,327.8211,158.793,4.178,1230,1239,2,gen_0005.npy
6,74.7536,24.7506,1.94,494,873,3,gen_0006.npy
7,222.0983,27.8376,3.31,1031,1303,4,gen_0007.npy
8,358.8948,115.956,4.447,1263,1162,5,gen_0008.npy
9,167.2501,51.973,1.544,1243,579,6,gen_0009.npy
10,276.3625,134.8778,4.292,1176,1723,7,gen_0010.npy
11,237.5774,62.5395,3.076,1022,557,8,gen_0011.npy
12,368.1863,77.9388,4.384,1111,777,0,gen_0012.npy
13,378.98,133.466,4.82,1280,1222,0,gen_0013.npy
14,189.6587,48.733,1.741,1238,569,1,gen_0014.npy
15,457.6858,188.2534,5.014,1281,950,0,gen_0015.npy
16,78.0511,1.3535,2.248,358,847,1,gen_0016.npy
17,340.0903,77.7207,4.283,1195,799,2,gen_0017.npy
18,384.7019,138.5749,4.841,1285,1231,3,gen_0018.npy
19,166.7336,26.6347,3.121,360,830,4,gen_0019.npy
20,274.6485,136.5694,4.287,1196,1720,5,gen_0020.npy
21,159.8951,9.5422,1.962,1227,563,6,gen_0021.npy
22,309.5109,97.5073,4.028,1077,769,7,gen_0022.npy
23,367.4976,140.5999,4.754,1255,1228,8,gen_0023.npy
24,93.695,-1.9795,1.822,646,876,9,gen_0024.npy
25,390.4262,172.768,5.012,1258,956,10,gen_0025.npy
1,214.829,-71.9382,4.09,852,1047,0,gen_0001.npy
2,278.6736,78.7468,4.276,894,1007,0,gen_0002.npy
1,462.9488,43.8884,5.634,1320,915,0,gen_0001.npy
2,123.603,-57.0327,1.288,1580,649,1,gen_0002.npy
3,377.3533,305.136,5.037,1238,1005,2,gen_0003.npy
1,434.3268,-51.1453,4.654,1286,1015,0,gen_0001.npy
2,463.3254,81.975,5.615,1433,954,0,gen_0002.npy
3,424.1295,61.746,4.708,1260,1039,1,gen_0003.npy
4,417.6956,87.7973,5.43,1366,1092,2,gen_0004.npy
5,555.353,117.5401,5.843,1400,1066,0,gen_0005.npy
6,428.3587,124.9673,5.171,1201,1054,1,gen_0006.npy
7,418.2275,154.362,5.284,1263,970,2,gen_0007.npy
8,471.8642,86.4164,5.748,1400,969,3,gen_0008.npy
9,511.9913,136.5392,5.699,1424,986,4,gen_0009.npy
10,394.9257,36.6691,5.023,1303,1050,5,gen_0010.npy
11,510.4495,170.7214,5.308,868,715,6,gen_0011.npy
12,448.4659,111.9013,5.434,1374,942,7,gen_0012.npy
13,441.9689,43.5769,4.733,851,632,8,gen_0013.npy
14,413.0139,115.1749,4.845,1164,936,9,gen_0014.npy
15,351.2618,124.8101,4.051,1227,781,10,gen_0015.npy
