Generation,Best_Fitness,Avg_Fitness,Area_Coverage,Time_On_Line,Steps_Survived,Backward_Movement_Count,Standstill_Count,Collision_Time,Collision,Stagnation_Counter
1,0.3,-1.2682,0,0,300,0,300,0,False,0
2,0.2716,-0.0605,0,0,300,1,300,112,True,1
3,5.003,0.4713,2,4,687,286,300,0,False,0
4,0.3,-0.7206,0,0,300,0,300,0,False,1
5,0.3,-0.6172,0,0,300,0,300,0,False,2
6,0.301,0.0079,0,0,301,0,300,0,False,3
7,0.3,0.2964,0,0,300,0,300,0,False,4
8,0.3,0.0478,0,0,300,0,300,0,False,5
9,0.303,0.1388,0,0,303,0,300,0,False,6
10,58.139,9.2095,20,25,1309,484,300,466,True,0
11,61.5075,14.994,21,47,2000,587,239,315,False,0
12,72.6776,16.482,25,29,1606,627,300,332,True,0
13,61.6538,20.54,21,59,2000,629,96,34,False,1
14,87.6172,11.7806,30,67,2000,803,150,72,False,0
15,106.716,18.5851,36,56,2000,619,66,12,False,0
16,100.9924,35.9844,34,61,2000,569,87,51,False,1
17,99.9482,47.3739,34,171,1271,690,300,324,True,2
18,101.891,24.7024,34,219,2000,618,106,85,False,3
19,195.071,39.9149,66,369,2000,1304,132,30,False,0
20,201.73,41.0316,68,343,2000,1143,130,78,False,0
21,226.4954,34.578,76,420,2000,1121,118,66,False,0
22,180.3052,37.7122,61,400,2000,1296,62,54,False,1
23,123.4844,52.1451,41,474,2000,880,118,12,False,2
24,178.8808,43.7819,60,355,2000,990,54,8,False,3
25,157.135,41.933,53,325,2000,1070,76,18,False,4
26,263.8542,72.9824,88,476,2000,991,36,3,False,0
27,228.3935,54.1066,76,480,2000,892,98,35,False,1
28,207.3292,53.1151,69,598,2000,1024,43,111,False,2
29,270.795,88.1252,90,739,2000,1133,106,110,False,0
30,266.686,83.0225,88,757,2000,889,52,12,False,1
31,234.0628,101.7367,79,418,2000,1281,106,192,False,2
32,350.806,84.4904,116,833,2000,923,56,100,False,0
33,291.9052,88.6031,98,274,2000,984,69,116,False,1
34,257.0168,65.1439,86,624,2000,1047,124,498,False,2
35,208.786,39.1764,70,476,2000,874,170,508,False,3
36,344.2396,145.7451,114,775,1832,771,300,324,True,4
37,217.5154,54.2692,72,331,840,145,300,298,True,5
38,396.2478,131.511,131,851,2000,902,52,39,False,0
39,174.6146,47.3181,59,555,2000,1129,243,526,False,1
40,156.658,42.7733,55,322,2000,1213,266,1410,True,2
41,402.2078,147.4753,133,1055,2000,1081,90,182,True,0
42,124.3546,43.9991,43,517,2000,1015,265,1117,False,1
43,278.1133,47.5884,93,649,2000,1082,98,369,False,2
44,301.6206,96.7091,100,442,1249,347,300,246,True,3
45,433.9765,93.9402,142,1369,2000,800,39,39,False,0
46,377.3074,110.4755,125,737,2000,854,146,101,False,1
47,181.1769,50.8119,60,387,2000,596,175,73,False,2
48,159.6108,63.6143,55,293,2000,663,205,1199,True,3
49,120.0139,12.5192,40,194,1166,427,300,29,False,4
50,76.448,18.6269,26,141,2000,780,99,0,False,5
51,174.6202,26.4736,58,246,997,146,300,288,True,6
52,307.7036,53.4031,102,834,2000,1112,45,57,False,7
53,118.183,17.6322,40,160,936,363,300,350,True,8
54,143.2326,24.9127,48,191,821,235,300,316,True,9
55,106.5115,33.6804,36,147,896,455,300,151,False,10
56,438.814,117.2069,144,1216,2000,819,61,0,False,0
57,64.5876,12.799,23,26,1037,637,300,322,True,1
58,214.085,48.2415,72,371,2000,1123,75,25,False,2
59,229.3886,55.306,76,618,2000,920,46,6,False,3
60,98.656,34.4058,33,142,578,45,300,298,True,4
61,89.6614,11.8098,30,122,636,136,300,186,False,5
62,134.1592,21.9672,45,200,874,259,300,284,True,6
63,221.4772,64.8389,74,325,962,370,300,296,True,7
64,98.3732,30.4794,33,153,600,97,300,292,True,8
65,161.376,17.5489,54,222,908,235,300,292,True,9
66,388.187,47.2219,128,957,2000,884,148,25,False,10
67,303.4641,70.0863,101,697,2000,1144,35,37,False,11
68,476.89,115.288,157,1180,2000,925,32,0,False,0
69,367.294,134.1282,121,1009,2000,940,196,20,False,1
70,364.827,68.6551,121,583,1253,621,300,52,False,2
71,484.404,114.0644,159,1481,2000,1074,149,0,False,0
72,88.1562,41.5951,30,113,857,206,300,329,True,1
73,182.1311,51.8302,61,271,872,295,300,293,True,2
74,145.5592,50.606,49,208,816,244,300,332,True,3
75,273.352,45.9902,91,406,1127,303,300,294,True,4
76,342.8736,131.874,113,1054,2000,1012,123,64,False,5
77,82.1562,36.1561,28,119,753,227,300,284,True,6
78,309.964,126.0035,104,661,2000,1229,115,250,False,7
